Código IES;Nome do Curso
316;ENGENHARIA DE PRODUÇÃO
1478;GESTÃO DA QUALIDADE
22;PSICOLOGIA
56;LETRAS - PORTUGUÊS E ESPANHOL
322;EDUCAÇÃO FÍSICA
3779;GESTÃO FINANCEIRA
17942;TRANSPORTE TERRESTRE
275;ENGENHARIA ELÉTRICA
790;ADMINISTRAÇÃO
322;ENGENHARIA ELÉTRICA
707;NUTRIÇÃO
1129;ADMINISTRAÇÃO
266;CIÊNCIAS ECONÔMICAS
322;LOGÍSTICA
12817;ENGENHARIA CIVIL
11807;DESIGN DE MODA
1836;EDUCAÇÃO FÍSICA
1432;ADMINISTRAÇÃO
1100;CIÊNCIAS CONTÁBEIS
322;ADMINISTRAÇÃO
23241;GESTÃO DE RECURSOS HUMANOS
316;LOGÍSTICA
1836;ADMINISTRAÇÃO
319;FARMÁCIA
2625;LOGÍSTICA
316;GESTÃO DE AMBIENTES INTERNET E REDES DE COMPUTADORES
466;TURISMO
495;QUÍMICA
374;ESTÉTICA E COSMÉTICA
22603;ADMINISTRAÇÃO
1412;PSICOLOGIA
438;ENGENHARIA ELÉTRICA
1385;PUBLICIDADE E PROPAGANDA
2494;ENGENHARIA DE PRODUÇÃO
1810;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
1294;CIÊNCIAS CONTÁBEIS
967;PRODUÇÃO INDUSTRIAL
17662;ENGENHARIA AGRONÔMICA
322;ESTÉTICA E COSMÉTICA
322;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
319;GEOGRAFIA
316;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
221;PSICOLOGIA
68;DIREITO
2726;ADMINISTRAÇÃO
4655;GESTÃO DE RECURSOS HUMANOS
1273;SEGURANÇA NO TRABALHO
457;MEDICINA VETERINÁRIA
457;ENFERMAGEM
4141;NUTRIÇÃO
481;GASTRONOMIA
55;LETRAS - GREGO
203;BIOMEDICINA
1294;MARKETING
1434;ESTÉTICA E COSMÉTICA
1230;ENGENHARIA MECATRÔNICA
546;TEOLOGIA
269;PUBLICIDADE E PROPAGANDA
322;BIOMEDICINA
374;FARMÁCIA
25412;ADMINISTRAÇÃO
4029;ADMINISTRAÇÃO
56;ZOOTECNIA
56;ODONTOLOGIA
483;MEDICINA VETERINÁRIA
502;ENGENHARIA DE PRODUÇÃO
1659;DIREITO
55;CIÊNCIAS AGRÁRIAS
322;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
605;PRODUÇÃO CULTURAL
316;CIÊNCIAS SOCIAIS
852;PRODUÇÃO MULTIMÍDIA
1270;ENFERMAGEM
346;PEDAGOGIA
316;ENGENHARIA CIVIL
1046;SISTEMAS DE INFORMAÇÃO
319;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
1129;ARQUITETURA E URBANISMO
54;ENGENHARIA DE MANUFATURA
3937;FISIOTERAPIA
2328;ADMINISTRAÇÃO
481;ENGENHARIA ELÉTRICA
4819;AUTOMAÇÃO INDUSTRIAL
23893;ADMINISTRAÇÃO
55;MATEMÁTICA
56;GEOLOGIA
322;COMÉRCIO EXTERIOR
2408;EVENTOS
3933;BIOMEDICINA
363;BIOLOGIA
438;LETRAS - PORTUGUÊS E INGLÊS
1310;MEDICINA VETERINÁRIA
221;DESIGN GRÁFICO
374;DIREITO
4793;MATEMÁTICA
19;ARTES VISUAIS
1294;MARKETING
1386;GESTÃO DA QUALIDADE
1541;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
322;MEDICINA VETERINÁRIA
4017;CIÊNCIAS CONTÁBEIS
1294;TURISMO
4724;FARMÁCIA
1149;FISIOTERAPIA
322;FARMÁCIA
79;CIÊNCIA DA COMPUTAÇÃO
206;FILOSOFIA
1892;COMUNICAÇÃO SOCIAL
457;FISIOTERAPIA
322;ENGENHARIA DE PETRÓLEO
481;NUTRIÇÃO
68;PSICOLOGIA
672;ENFERMAGEM
150;FARMÁCIA
23241;DESIGN
374;DIREITO
2123;FISIOTERAPIA
1317;PSICOLOGIA
254;LETRAS - PORTUGUÊS E INGLÊS
231;ESTUDOS SOCIAIS
457;ARQUITETURA E URBANISMO
322;GESTÃO DE RECURSOS HUMANOS
319;LETRAS - LÍNGUA PORTUGUESA E LIBRAS
1225;DIREITO
4185;CIÊNCIAS CONTÁBEIS
23893;DIREITO
466;MEDICINA VETERINÁRIA
242;GESTÃO DA QUALIDADE
1100;FISIOTERAPIA
316;GESTÃO COMERCIAL
793;MARKETING
322;PEDAGOGIA
56;LETRAS - PORTUGUÊS E FRANCÊS
737;BIOMEDICINA
22769;DIREITO
56;CIÊNCIAS BIOLÓGICAS
5288;ENFERMAGEM
466;AVIAÇÃO CIVIL
55;ODONTOLOGIA
1224;FARMÁCIA
14715;GESTÃO DE RECURSOS HUMANOS
316;MARKETING
376;ENGENHARIA CIVIL
322;PROPAGANDA E MARKETING
203;HISTÓRIA
11308;NUTRIÇÃO
5627;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
3008;GESTÃO DE RECURSOS HUMANOS
322;NUTRIÇÃO
375;ENGENHARIA DE SOFTWARE
322;CIÊNCIAS ECONÔMICAS
54;CIÊNCIA DA COMPUTAÇÃO
15803;MANUTENÇÃO INDUSTRIAL
4826;ENGENHARIA DE CONTROLE E AUTOMAÇÃO
1834;LOGÍSTICA
4522;COMUNICAÇÃO SOCIAL
434;MODA
793;FISIOTERAPIA
322;ENGENHARIA CIVIL
608;ENFERMAGEM
16194;NUTRIÇÃO
3432;CIÊNCIAS BIOLÓGICAS
146;BIOMEDICINA
322;ENGENHARIA DE CONTROLE E AUTOMAÇÃO
1964;HOTELARIA
137;LETRAS - TRADUTOR
4826;CIÊNCIAS CONTÁBEIS
1499;ADMINISTRAÇÃO
5288;GESTÃO DE RECURSOS HUMANOS
4492;PEDAGOGIA
203;SISTEMAS DE INFORMAÇÃO
322;ESTÉTICA E COSMÉTICA
319;DIREITO
15688;LOGÍSTICA
517;PUBLICIDADE E PROPAGANDA
221;RADIOLOGIA
1273;FISIOTERAPIA
1541;ADMINISTRAÇÃO
376;ENFERMAGEM
222;ENGENHARIA DE PRODUÇÃO
55;ENGENHARIA NAVAL
17593;ADMINISTRAÇÃO
483;GESTÃO DESPORTIVA E DE LAZER
1444;EDUCAÇÃO FÍSICA
137;ADMINISTRAÇÃO
1412;ENGENHARIA MECÂNICA
322;PRODUÇÃO AUDIOVISUAL
203;GESTÃO DE RECURSOS HUMANOS
33;LOGÍSTICA
466;PRODUÇÃO FONOGRÁFICA
203;CIÊNCIA DA COMPUTAÇÃO
1444;ADMINISTRAÇÃO
1365;ADMINISTRAÇÃO
322;CIÊNCIAS CONTÁBEIS
319;HISTÓRIA
55;CIÊNCIA DA COMPUTAÇÃO
374;ENGENHARIA MECÂNICA
1292;AGRONOMIA
322;ENFERMAGEM
1385;COMUNICAÇÃO SOCIAL
591;CIÊNCIAS SOCIAIS
922;ADMINISTRAÇÃO
316;PLANEJAMENTO ESTRATÉGICO EMPRESARIAL
4925;POLÍTICAS PÚBLICAS
18526;ENFERMAGEM
1225;GESTÃO DE RECURSOS HUMANOS
456;BANCO DE DADOS
605;COMÉRCIO EXTERIOR
20478;CIÊNCIA DE DADOS
3432;ENFERMAGEM
2328;GESTÃO COMERCIAL
316;BIOMEDICINA
1149;CIÊNCIAS CONTÁBEIS
138;ESTÉTICA E COSMÉTICA
2971;ADMINISTRAÇÃO
5633;GESTÃO EMPRESARIAL
203;GESTÃO DE RECURSOS HUMANOS
19500;PROCESSOS GERENCIAIS
109;ODONTOLOGIA
3985;HOTELARIA
481;DATA SCIENCE
456;SERVIÇO SOCIAL
374;CIÊNCIA DE DADOS
55;FISIOTERAPIA
1129;ESTÉTICA E COSMÉTICA
1541;AUTOMAÇÃO INDUSTRIAL
322;COMÉRCIO EXTERIOR
13752;GESTÃO DE RECURSOS HUMANOS
203;ODONTOLOGIA
1294;SISTEMAS DE INFORMAÇÃO
466;GESTÃO DE RECURSOS HUMANOS
670;BIOMEDICINA
734;CIÊNCIAS
625;DIREITO
5669;CIÊNCIAS DA COMPUTAÇÃO
11807;DESIGN DE PRODUTO E SERVIÇO
997;CIÊNCIAS CONTÁBEIS
56;CIÊNCIA DA COMPUTAÇÃO
1870;HISTÓRIA
322;GESTÃO DE SEGURANÇA PRIVADA
1187;PUBLICIDADE E PROPAGANDA
670;BIOMEDICINA
1100;MARKETING
146;ENGENHARIA DE PRODUÇÃO
1810;FÍSICA
1224;SERVIÇO SOCIAL
54;CIÊNCIAS BIOLÓGICAS
456;CIÊNCIAS DA ACUPUNTURA
19739;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO
1838;PRODUÇÃO AUDIOVISUAL
707;CIÊNCIAS CONTÁBEIS
221;EDUCAÇÃO FÍSICA
707;ENGENHARIA DE MATERIAIS
1836;DIREITO
591;NUTRIÇÃO
1499;PSICOLOGIA
3896;COMUNICAÇÃO SOCIAL
15769;SISTEMAS PARA INTERNET
665;ENGENHARIA MECÂNICA
481;DIREITO
24369;ENFERMAGEM
319;CIÊNCIAS BIOLÓGICAS
161;DIREITO
1554;EDUCAÇÃO FÍSICA
360;PSICOLOGIA
322;FISIOTERAPIA
271;ZOOTECNIA
23236;ODONTOLOGIA
483;MARKETING
466;CIÊNCIA DE DADOS
5669;EDUCAÇÃO FÍSICA
322;SISTEMAS DE INFORMAÇÃO
491;CIÊNCIAS CONTÁBEIS
271;MEDICINA VETERINÁRIA
34;GESTÃO DA QUALIDADE
665;NUTRIÇÃO
17839;ENGENHARIA DE PRODUÇÃO
221;ENGENHARIA ELÉTRICA
150;TERAPIA OCUPACIONAL
203;GESTÃO DE PROCESSOS E PROJETOS ÁGEIS
20530;DIREITO
203;ENGENHARIA CIVIL
374;ARTES VISUAIS
605;RELAÇÕES INTERNACIONAIS
7;MATEMÁTICA
1499;ENGENHARIA DE PRODUÇÃO
2183;ENGENHARIA CIVIL
1420;MEDICINA
5312;PEDAGOGIA
1810;AGRONEGÓCIO
1310;FARMÁCIA
269;SISTEMAS DE INFORMAÇÃO
322;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO
322;CIÊNCIAS ECONÔMICAS
1100;DIREITO
1270;LOGÍSTICA
376;EDUCAÇÃO FÍSICA
322;GESTÃO FINANCEIRA
5627;EVENTOS
3641;ENGENHARIA CIVIL
316;DIREITO
146;GESTÃO FINANCEIRA
15793;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
521;ADMINISTRAÇÃO
1144;PEDAGOGIA
4017;ENGENHARIA DE ALIMENTOS
14194;FILOSOFIA
707;FARMÁCIA
1032;LOGÍSTICA
36;SISTEMAS PARA INTERNET
1300;ADMINISTRAÇÃO
1299;FISIOTERAPIA
3641;ADMINISTRAÇÃO
322;CIÊNCIAS ECONÔMICAS
4150;GESTÃO DE RECURSOS HUMANOS
16194;PSICOLOGIA
23241;FARMÁCIA
1834;ENGENHARIA DE PRODUÇÃO
3896;PRODUÇÃO PUBLICITÁRIA
591;LETRAS - PORTUGUÊS E ESPANHOL
56;RELAÇÕES INTERNACIONAIS
670;ENGENHARIA ELÉTRICA
1182;ENFERMAGEM
1294;PSICOLOGIA
1742;DESIGN GRÁFICO
203;BIOMEDICINA
56;GEOGRAFIA
322;CIÊNCIAS CONTÁBEIS
3692;SISTEMAS PARA INTERNET
254;SERVIÇOS JUDICIAIS
1875;ADMINISTRAÇÃO
1043;CIÊNCIAS ECONÔMICAS
466;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO
1045;ENGENHARIA CIVIL
55;ENGENHARIA AERONÁUTICA
316;ADMINISTRAÇÃO
4878;PEDAGOGIA
221;NUTRIÇÃO
4138;EDUCAÇÃO FÍSICA
12817;GESTÃO DE RECURSOS HUMANOS
15576;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
322;SERVIÇO SOCIAL
652;COMPLEMENTAÇÃO DE ESTUDOS
1294;EVENTOS
466;COMÉRCIO INTERNACIONAL
526;ODONTOLOGIA
1412;PEDAGOGIA
1356;PSICOLOGIA
415;NUTRIÇÃO
319;ODONTOLOGIA
55;MÚSICA COM HABILITAÇÃO EM INSTRUMENTO DE SOPRO - ÊNFASE EM CLARINETE
24369;PSICOLOGIA
79;DIREITO
496;MEDICINA
13796;GESTÃO DE RECURSOS HUMANOS
206;SERVIÇO SOCIAL
1788;GESTÃO DE RECURSOS HUMANOS
54;ARQUITETURA E URBANISMO
150;PEDAGOGIA
1273;RÁDIO TV E INTERNET
3940;ENFERMAGEM
203;ADMINISTRAÇÃO
55;ENGENHARIA CIVIL
2625;CIÊNCIA DA COMPUTAÇÃO
37;SISTEMAS NAVAIS
56;CIÊNCIAS SOCIAIS
605;LOGÍSTICA
1853;GESTÃO DE RECURSOS HUMANOS
20478;GESTÃO COMERCIAL
1294;ENGENHARIA QUÍMICA
466;DESIGN DIGITAL
670;ENGENHARIA DE PRODUÇÃO
208;ENGENHARIA CIVIL
322;PUBLICIDADE E PROPAGANDA
1892;DESIGN DE INTERIORES
952;BIOMEDICINA
17926;MARKETING
4090;ENGENHARIA ELÉTRICA
4022;CIÊNCIA DE DADOS
652;MEDICINA VETERINÁRIA
1046;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
440;ENGENHARIA DE PRODUÇÃO
33;LOGÍSTICA
254;SEGURANÇA PÚBLICA
1742;ENGENHARIA ELETRÔNICA
56;ENGENHARIA CIVIL
496;DESIGN GRÁFICO
203;DESIGN GRÁFICO
1810;MATEMÁTICA
5312;JORNALISMO
1490;ARQUITETURA E URBANISMO
517;PSICOLOGIA
322;CIÊNCIA DA COMPUTAÇÃO
244;QUÍMICA
316;COMUNICAÇÃO SOCIAL - JORNALISMO
3896;COMUNICAÇÃO INSTITUCIONAL
23147;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
1276;ENFERMAGEM
1810;FÍSICA
1921;PSICOLOGIA
1418;EDUCAÇÃO FÍSICA
665;PRODUÇÃO MULTIMÍDIA
319;FARMÁCIA
23700;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
56;ENGENHARIA DE PRODUÇÃO
55;CIÊNCIAS EXATAS COM HABILITAÇÃO EM FÍSICA
208;ADMINISTRAÇÃO
1149;RADIOLOGIA
23409;ENFERMAGEM
322;ENGENHARIA CIVIL
4211;COMUNICAÇÃO INSTITUCIONAL
15581;LOGÍSTICA
56;LETRAS - PORTUGUÊS E INGLÊS
263;LOGÍSTICA
1854;DESIGN GRÁFICO
322;EDUCAÇÃO FÍSICA
1149;DIREITO
17977;MANUTENÇÃO INDUSTRIAL
322;CIÊNCIA DA COMPUTAÇÃO
1433;ENGENHARIA DE PRODUÇÃO
636;CIÊNCIAS SOCIAIS
17942;CONTROLE DE OBRAS
1032;COMUNICAÇÃO SOCIAL
652;CIÊNCIAS CONTÁBEIS
322;FOTOGRAFIA
55;MúSICA COM HABILITAçãO EM CANTO E ARTE LíRICA
1810;TURISMO
466;CIÊNCIAS ECONÔMICAS
12817;CIÊNCIAS CONTÁBEIS
254;HOTELARIA
1149;ENGENHARIA DE PRODUÇÃO
124;ENGENHARIA ELÉTRICA
23438;GESTÃO EMPRESARIAL
15745;SEGURANÇA DA INFORMAÇÃO
1225;SEGURANÇA NO TRABALHO
322;CIÊNCIAS BIOLÓGICAS
7;TRADUÇÃO E INTERPRETAÇÃO EM LÍNGUA BRASILEIRA DE SINAIS - LIBRAS/LÍNGUA PORTUGUESA
322;CIÊNCIA DA COMPUTAÇÃO
1745;GESTÃO DE RECURSOS HUMANOS
4656;CIÊNCIA DA COMPUTAÇÃO
25412;CIÊNCIAS CONTÁBEIS
496;EDUCAÇÃO FÍSICA
17662;ADMINISTRAÇÃO
20476;MEDICINA VETERINÁRIA
481;GESTÃO FINANCEIRA
203;FISIOTERAPIA
4826;PUBLICIDADE E PROPAGANDA
466;DESIGN DE INTERIORES
203;LOGÍSTICA
55;MATEMÁTICA APLICADA COM HABILITAÇÃO EM CIÊNCIAS BIOLÓGICAS
417;REDES DE COMPUTADORES
24366;PSICOLOGIA
481;CIÊNCIAS BIOLÓGICAS
481;GESTÃO DE NEGÓCIOS IMOBILIÁRIOS
322;LETRAS - PORTUGUÊS E INGLÊS
1854;DIREITO
55;COMUNICAçãO SOCIAL COM HABILITAçãO EM PUBLICIDADE E PROPAGANDA
1499;EDUCAÇÃO FÍSICA
167;PEDAGOGIA
2123;ENGENHARIA CIVIL
271;ODONTOLOGIA
79;MATEMÁTICA
79;PSICOLOGIA
56;ENGENHARIA DE PRODUÇÃO
1541;MARKETING
1187;ENGENHARIA CIVIL
1294;GESTÃO COMERCIAL
322;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
208;ARQUITETURA E URBANISMO
1299;TERAPIA OCUPACIONAL
665;EDUCAÇÃO FÍSICA
18667;FARMÁCIA
2123;ENGENHARIA DE PRODUÇÃO
56;LETRAS - ITALIANO
665;ENGENHARIA DE COMPUTAÇÃO
1295;EDUCAÇÃO FÍSICA
1804;CIÊNCIAS CONTÁBEIS
322;GESTÃO DE RECURSOS HUMANOS
3529;PUBLICIDADE E PROPAGANDA
852;BANCO DE DADOS
221;ENFERMAGEM
526;DIREITO
670;FARMÁCIA
376;LOGÍSTICA
322;ADMINISTRAÇÃO
203;FARMÁCIA
322;PROCESSOS GERENCIAIS
4104;ENGENHARIA DE PRODUÇÃO
15715;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
1892;ENGENHARIA DE SOFTWARE
1418;ENGENHARIA ELÉTRICA
222;PEDAGOGIA
591;FILOSOFIA
26777;CIÊNCIAS MILITARES
1554;ESTÉTICA E COSMÉTICA
4925;ENGENHARIA DE INSTRUMENTAÇÃO AUTOMAÇÃO E ROBÓTICA
1230;JOGOS DIGITAIS
17608;ESTÉTICA E COSMÉTICA
481;ENGENHARIA DE PRODUÇÃO
1225;LETRAS - PORTUGUÊS E INGLÊS
4293;BIOMEDICINA
55;ENFERMAGEM
466;ENGENHARIA MECÂNICA
652;CIÊNCIAS BIOLÓGICAS
146;ESTÉTICA E COSMÉTICA
322;ADMINISTRAÇÃO
1624;ADMINISTRAÇÃO
1497;DIREITO
483;EDUCAÇÃO FÍSICA
1294;MEDICINA
200;JORNALISMO
11289;GESTÃO DE RECURSOS HUMANOS
4211;ENGENHARIA CIVIL
21850;SISTEMAS BIOMÉDICOS
1387;GESTÃO DE RECURSOS HUMANOS
652;GESTÃO DE RECURSOS HUMANOS
1187;PSICOLOGIA
417;COMÉRCIO EXTERIOR
898;DIREITO
5312;ARQUITETURA E URBANISMO
19578;GESTÃO DA PRODUÇÃO INDUSTRIAL
55;ENGENHARIA DE MATERIAIS E MANUFATURA
5669;MARKETING
316;BIOMEDICINA
322;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
22;ARQUITETURA E URBANISMO
316;MEDICINA VETERINÁRIA
1032;ENGENHARIA DE PRODUÇÃO
1387;ADMINISTRAÇÃO
738;RÁDIO TV E INTERNET
543;ENGENHARIA ELÉTRICA
55;QUíMICA COM HABILITAçãO EM QUíMICA TECNOLóGICA BIOTECNOLOGIA E AGROINDUSTRIA
316;NUTRIÇÃO
34;MECÂNICA DE PRECISÃO
4000;EDUCAÇÃO FÍSICA
3692;MARKETING
1874;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
322;CIÊNCIAS CONTÁBEIS
4007;PEDAGOGIA
316;REDES DE COMPUTADORES
4017;ADMINISTRAÇÃO
591;CIÊNCIAS ECONÔMICAS
1810;ADMINISTRAÇÃO
420;ENFERMAGEM
652;EDUCAÇÃO ARTÍSTICA
319;LETRAS - LÍNGUA PORTUGUESA
1322;ENGENHARIA CIVIL
1762;GESTÃO HOSPITALAR
55;ENFERMAGEM
1365;COMUNICAÇÃO SOCIAL - RÁDIO E TELEVISÃO
1092;ADMINISTRAÇÃO
28548;GESTÃO HOSPITALAR
1225;ENGENHARIA AMBIENTAL E ENERGIAS RENOVÁVEIS
3779;EDUCAÇÃO FÍSICA
4826;ENGENHARIA CIVIL
1420;LETRAS - PORTUGUÊS E INGLÊS
5669;GESTÃO DE RECURSOS HUMANOS
591;ENGENHARIA AMBIENTAL
1294;ENGENHARIA BIOMÉDICA
316;PRODUÇÃO AUDIOVISUAL
19;ENGENHARIA DE CONTROLE E AUTOMAÇÃO
636;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
244;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
1478;ENGENHARIA DE PRODUÇÃO
254;ENGENHARIA MECÂNICA
376;LOGÍSTICA
316;ENGENHARIA CIVIL
1561;ENGENHARIA MECÂNICA
22176;EDUCAÇÃO FÍSICA
1365;ADMINISTRAÇÃO
206;EDUCAÇÃO FÍSICA
322;CIÊNCIAS ECONÔMICAS
56;QUÍMICA
3533;MEDICINA
605;PRODUÇÃO AUDIOVISUAL
322;ENFERMAGEM
375;COMUNICAÇÃO SOCIAL
1224;ADMINISTRAÇÃO
416;REDES DE COMPUTADORES
1388;PEDAGOGIA
24864;REDES DE COMPUTADORES
1659;FISIOTERAPIA
319;MARKETING
1438;ENGENHARIA DE COMPUTAÇÃO
146;CIÊNCIAS BIOLÓGICAS
1732;GESTÃO DE RECURSOS HUMANOS
3985;GASTRONOMIA
322;PROCESSOS GERENCIAIS
665;ARQUITETURA E URBANISMO
7;EDUCAÇÃO FÍSICA
4522;DESENVOLVIMENTO DE SISTEMAS
1046;MARKETING
319;NUTRIÇÃO
55;MÚSICA - FLAUTA
1294;CINEMA E AUDIOVISUAL
221;PSICOLOGIA
1294;DESIGN GRÁFICO
457;DIREITO
17902;CIÊNCIAS ECONÔMICAS
55;MATEMÁTICA APLICADA E COMPUTACIONAL COM HABILITAÇÃO EM ESTATÍSTICA ECONÔMICA
502;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO
1294;LOGÍSTICA
55;LETRAS - FRANCÊS
4022;LOGÍSTICA
221;CIÊNCIAS CONTÁBEIS
457;ENGENHARIA CIVIL
4826;FARMÁCIA
21654;PEDAGOGIA
322;AUTOMAÇÃO INDUSTRIAL
1836;ENGENHARIA MECÂNICA
135;GESTÃO DE RECURSOS HUMANOS
1224;LETRAS - PORTUGUÊS E ESPANHOL
1964;ESTÉTICA E COSMÉTICA
15401;GESTÃO FINANCEIRA
22021;ADMINISTRAÇÃO
200;PRODUÇÃO PUBLICITÁRIA
670;GASTRONOMIA
1150;PRODUÇÃO GRÁFICA
456;GESTÃO DA QUALIDADE
370;DANÇA
17902;RELAÇÕES INTERNACIONAIS
135;PEDAGOGIA
12522;ADMINISTRAÇÃO
1499;GESTÃO DE RECURSOS HUMANOS
203;ENGENHARIA ELETRÔNICA
322;ADMINISTRAÇÃO
322;FARMÁCIA
481;ENFERMAGEM
13752;ARQUITETURA E URBANISMO
322;ENGENHARIA MECÂNICA
1898;CIÊNCIAS CONTÁBEIS
18072;SEGURANÇA NO TRÂNSITO
466;DANÇA
13527;TEOLOGIA
14890;ENGENHARIA DE PRODUÇÃO
222;EDUCAÇÃO FÍSICA
952;CIÊNCIAS BIOLÓGICAS
55;CIÊNCIAS EXATAS COM HABILITAÇÃO EM QUÍMICA
1711;PSICOLOGIA
1964;NUTRIÇÃO
546;JOGOS DIGITAIS
1100;BIOMEDICINA
456;MEDIAÇÃO
208;FISIOTERAPIA
2774;ENGENHARIA ELÉTRICA
4925;QUÍMICA
1870;QUÍMICA
22527;ENFERMAGEM
1032;DESIGN
242;ENGENHARIA QUÍMICA
591;ENGENHARIA DE MATERIAIS
4878;ENGENHARIA CIVIL
5288;DIREITO
2128;DIREITO
4169;GESTÃO DE SEGURANÇA PRIVADA
997;SISTEMAS DE INFORMAÇÃO
54;GEOGRAFIA
203;PRODUÇÃO AUDIOVISUAL
203;GESTÃO DE PROCESSOS E PROJETOS ÁGEIS
481;QUÍMICA
605;INTELIGÊNCIA ARTIFICIAL
271;BIOMEDICINA
953;PUBLICIDADE E PROPAGANDA
135;AGRONEGÓCIO
203;INVESTIMENTO E FORMAÇÃO DE TRADERS
17608;FORMAÇÃO DE DOCENTES PARA A EDUCAÇÃO BÁSICA
481;ARQUITETURA E URBANISMO
22319;GESTÃO DA PRODUÇÃO INDUSTRIAL
2494;EDUCAÇÃO FÍSICA
605;ADMINISTRAÇÃO
124;CIÊNCIAS BIOLÓGICAS
466;BIOMEDICINA
55;GEOGRAFIA
4925;ENGENHARIA DE INFORMAÇÃO
1187;ARQUITETURA E URBANISMO
457;PSICOLOGIA
162;DESIGN DE INTERIORES
466;ENFERMAGEM
17608;GESTÃO DE RECURSOS HUMANOS
1788;DESIGN DE INTERIORES
1187;EDUCAÇÃO FÍSICA
19500;GESTÃO EMPRESARIAL
54;MÚSICA
23241;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO
316;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
4652;PEDAGOGIA
1276;BIOMEDICINA
670;ODONTOLOGIA
793;ESTÉTICA E COSMÉTICA
1294;DIREITO
1420;EDUCAÇÃO FÍSICA
1270;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
1385;CIÊNCIA DA COMPUTAÇÃO
56;CIÊNCIAS DA COMPUTAÇÃO
1964;GESTÃO DE RECURSOS HUMANOS
15752;GESTÃO DA PRODUÇÃO INDUSTRIAL
55;PSICOLOGIA
466;ESTÉTICA E COSMÉTICA
203;GESTÃO DE TURISMO
591;LETRAS - PORTUGUÊS
55;QUÍMICA
2123;CIÊNCIAS CONTÁBEIS
1742;GESTÃO DE NEGÓCIOS IMOBILIÁRIOS
521;ENGENHARIA MECÂNICA
4522;NUTRIÇÃO
17854;PSICOLOGIA
466;ZOOTECNIA
